ID,Restaurant,Price,Price2,Number,Type,Image
1,Amélie,$$,2,4.5 star rating,French,https://s3-media1.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/348s.jpg
2,Upstate,$$,2,4.5 star rating,Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/RvnUVU7MF7DT0RzNL-EebQ/348s.jpg
3,The Boil,$$,2,4.5 star rating,"Cajun,Seafood",https://s3-media3.fl.yelpcdn.com/bphoto/Y8Zgcd9DTKb_MGfjSBbh3g/348s.jpg
4,LoveMama,$$,2,4 star rating,"Thai,Malaysian,Vietnamese",https://s3-media4.fl.yelpcdn.com/bphoto/VUZKcwpdMpDRUuh-2A4XPA/348s.jpg
5,Burger & Lobster,$$,2,4 star rating,"Seafood,Burgers",https://s3-media1.fl.yelpcdn.com/bphoto/LLteoVFm9lUAJI0thmMZiA/348s.jpg
6,Uglyduckling,$$,2,4 star rating,American(Traditional),https://s3-media4.fl.yelpcdn.com/bphoto/zo96XEmO2i-KtBs0_5pQyA/348s.jpg
7,Jacob’s Pickles,$$,2,4 star rating,"Comfort Food, Southern, American (Traditional)",https://s3-media4.fl.yelpcdn.com/bphoto/VW8dpBkC3dzTZEV_AAGIkA/348s.jpg
8,Boucherie West Village,$$$,3,4.5 star rating,"French, Cocktail Bars, Steakhouses",https://s3-media2.fl.yelpcdn.com/bphoto/-5TXMVrjARsqKQHDg-hKbQ/348s.jpg
9,Ipanema Restaurant,$$,2,4 star rating,"Brazilian, Latin American, Portuguese ",https://s3-media2.fl.yelpcdn.com/bphoto/p7A065ZhtvsgsnVEaOfMuQ/348s.jpg
10,Aunt Jake’s,$$,2,4 star rating,"Italian, Wine Bars, Pasta Shops ",https://s3-media3.fl.yelpcdn.com/bphoto/hMhn_lnES3QWc4Gtihvr0A/348s.jpg
11,Trattoria Trecolori,$$,2,4 star rating,Italian,https://s3-media3.fl.yelpcdn.com/bphoto/G8vBgHxbEfoONO0JpLX3Qw/348s.jpg
12,Silver Factory,$$,2,4.5 star rating,"Korean, Bars",https://s3-media4.fl.yelpcdn.com/bphoto/jTUCcGJiZZPLlEmx0EHgXg/348s.jpg
13,Sugar Momma,$$,2,4.5 star rating,"Cocktail Bars, Tapas/Small Plates, Asian Fusion",https://s3-media1.fl.yelpcdn.com/bphoto/QRqgz-TUyQ1viy3pVLwF2g/348s.jpg
14,Han Dynasty,$$,2,4 star rating,Chinese,https://s3-media1.fl.yelpcdn.com/bphoto/HGbPK1KN__zc5_KvlQtlqA/348s.jpg
15,Bea,$$,2,4 star rating,"American (New), Cocktail Bars",https://s3-media1.fl.yelpcdn.com/bphoto/YoqmIVkroKVE97b5AHMJfQ/348s.jpg
16,Cafe Mogador,$$,2,4.5 star rating,Moroccan,https://s3-media2.fl.yelpcdn.com/bphoto/KiBcaarxxiQuvyyszASx8A/348s.jpg
17,nonono,$$,2,4 star rating,"Tapas/Small Plates, Izakaya, Ramen",https://s3-media3.fl.yelpcdn.com/bphoto/yhZYzx5cnn8SFFF8eZdRHw/348s.jpg
