ID,RestaurantID,views,Rating
1,1,"Great seafood this cozy spot East Village . The oyster incredible; great draft beer main entree fantastic . We reservation 3; had wait the bar 20-30 minute past time get table . The bar quite crowded waiting; if're able find seat ;'s too bad wait (grab beer).We ordered oyster an appetizer they fantastic fresh . You pick different area their little``oyster menu .""I got the mahi mahi wa incredible . I also tried bit the scallop risotto - also tasty . For seafood; too expensive you have wait quite a while . Definitely get a reservation though . Overall; would come back and/or bring friend visiting.",4.0 star rating
2,1,It great experience! I want provide realistic account wait time . It about 1.5 hour wait get which quite disheartening; then I arrived I saw size the restaurant saw there not a space . I avow when get ;'s well worth . The music nice . I found the ambience dark; intimate; great conversation . It's great date small group . It quite cozy there . It not easy balance bookbags a coat; I would suggest going elsewhere you went a shopping spree need bag placeent . I must say the waiter amazing; down-to-earth; definitely friendly . I would revisit due the high level service the Kumamota raw oyster . Most the West coast oyster fantastic . I would highly recommend others to try . Your life be changed! I'm planning next visit I speak.,4.0 star rating
3,1,Upstate decent seafood option east village . The menu crowd pleaser happy hour deal great . The catch - the restaurant small reservation be tricky get . I wouldn't suggest Upstate large crew . I've here a handful time have tried menu . Go happy hour get oyster offer . I'm a huge fan escargot uni dish start . Their menu change of their staple; the fettucine clam my favorite entree . It's simple rich's beautifully prepared al dente pasta . Their popular menu item the scallop risotto - it's good it's memorable . The price good (dish under $20) I'd go try a bunch of item . Not bad a seafood joint.,4.0 star rating
4,1,We came for dinner . Not bad you like seafood I . They pretty good oyster . The moo moo my fav also one bigger one . For appetizer Uni Tuna tartar . I liked Uni best came some ikura; onion; carrot purée; an egg made combo mesh together really well . Our entree Scallops octopus . We liked the scallop the risotto came the octopus the best . The risotto came the scallopn't bad either; good mushroom . But the risotto the octopus had truffle caviar . For dessert brought u some pound cake wa delicious . Overall good experience . Make reservation ahead! Pretty small inside like NY restaurant.,4.0 star rating
5,1,Awesome little spot east village . Had great portion really fresh seafood; good price! Friend I split uni tartare appetizer . For main I got the boiled pot seafood (forgot the dish name) - seafood; mussel; clam; scallop etc; wa fresh tasted great . Highly recommend; I also love this place take reservation . It's definitely cozy spot great location hit nearby bar the dinner . High recommend.,5.0 star rating
6,1,Came oyster happy hourn't disappoint! They rotating oyster happy hour menu ;'s usually 3 different selection . You pair with either beer wine order get deal though - 6 oyster + beer $12; + wine $16 . It's pretty small space make reservation possible (use yelp!).We got couple new brunswick; canada; from prince edward island; canada; north fork; long island . They tasted fresh; were the salty side . Our favorite the new brunswick one - although it salty; still get kick sweetness the end the more chew it :) The staff also gave u complimentary cake the end; wa really nice for new year day! From I saw people order (what nose wa able smell haha); it all looked pretty amazing . Looking forward to coming back tasting real food!,5.0 star rating
7,1,ABSOLUTELY AMAZING . Another limited space restaurant NYC; I recommend making reservation theren't much room wait inside . We so via Yelp app . We reservation 5 pm; soon they opened . The restaurant immediately filled within 5 minute; people told expect 45 minute wait . Their happy hour consists beer 6 oyster $12 . The oyster fresh came 3 toppings/sauces . There's option get wine 6 oyster $16 . I ordered clam fettuccine boyfriend got ciopinni . His dish came bread dipped the tomato broth . The amount seafood received plentiful; rich flavor; fresh . My clam fettuccini far my favorite dish my entire week trip NYC . Our waiter also gave u a complimentary desert followed by our meal! If love seafood; I highly highly recommend coming!! You not be disappointed the price definitely fair!,5.0 star rating
8,1,This spot located LES ha great menu . I like spot their menun't lengthy all dish they listed super flavorful . We made reservation advanced - good thing did got quite packed towards end meal . As appetizer ordered oyster special . If order 1/2 dozen oyster; pay special either glass wine beer . For appetizer ordered uni tuna tartar . Both hit great balance since the uni more the decadent side the tuna light fresh . For entree; ordered the scallop risotto ha mushroom mixed it the clam fettuccine . The fettuccine by far our favorite . It a ton garlic wa super flavorful.My one complaint the restaurant that it is a tight squeeze . I would recommend place large party be cautious walking between table making sure you don't knock anyone's glass.,5.0 star rating
9,1,Description: Seafood focused restaurant lot beer wine . They good happy hour special 6 oyster beer $12 Service: Everything served pretty quickly . They good job considering many people manage fit small place Atmosphere: The inside dimply lit . There a small bar area . It's a good place friends/date; not family . Items Tasted: - Fettuccine Clams: This best dish out everything I tried . The sauce great not salty . The pasta clam great well - Today's scallop special: The scallop fresh . The mushroom risotto yummy; I feel like could a bit flavoring - Octopus: The risotto is great . When say charred; mean . Ifn't like char taste; don't get - House-cured sockeye salmon: The salmon very very salty . It's a good dish; you like this type food- Oysters: Very fresh . It's interesting try a few different place taste the subtle difference,4.0 star rating
10,1,Awesome seafood restaurant East Village . I made reservation a Friday night dinner . Our table immediately ready our requested time . We started oyster shrimp appetizer . The Shrimp amazing atop type cornbread cake type thing . In't know; it amazing . Main entree mahi mahi potato my friend scallop with mushroom risotto . Both dish absolutely incredible; only negative thing I could think I wanted . Our server super polite helped me; someone doen't really like shellfish; navigate gigantic oyster menu . The food served promptly and wa incredibly fresh and authentic . For good the seafood; the restaurant is fairly priced . Like restaurant the East Village; it's small; I never felt cramped . It's convenient they take reservation yelp.,5.0 star rating
